time_s,NPQ
0.0,0.0
79.32,0.8425
94.32,1.4275000000000002
124.32,1.9525000000000001
184.32,1.7974999999999999
244.32,1.6175
364.32,1.235
514.32,0.9875
664.32,0.875
814.32,0.845
964.32,0.845
1114.32,0.83
1209.32,0.8274999999999999
1279.32,0.5850000000000001
1294.32,0.495
1324.32,0.3925
1384.32,0.31500000000000006
1444.32,0.26
1564.32,0.1225
