time_s,QY
0.0,0.0
79.32,0.1275
94.32,0.19
124.32,0.2725
184.32,0.405
244.32,0.43999999999999995
364.32,0.48
514.32,0.515
664.32,0.53
814.32,0.5375000000000001
964.32,0.535
1114.32,0.54
1209.32,0.54
1279.32,0.7175
1294.32,0.72
1324.32,0.7475
1384.32,0.7675000000000001
1444.32,0.7775000000000001
1564.32,0.805
